Nome;Taxa de Vitoria;AMA;Dano Causado;Ouro Recebido
Caitlyn;91.7;5.79;27.9;14.6
Sivir;86.7;4.33;24.7;12.6
Gragas;84.6;2.46;16;9.6
Lillia;78.9;4.5;19.4;12
Skarner;77.8;3.7;10.5;7.1
Zeri;76.9;3.37;27.5;13.2
Lee Sin;73.3;3.91;18.4;11.5
LeBlanc;70;4.43;29.3;12.8
Orianna;66.7;3.79;20.1;9.9
Aphelios;66.7;3.94;28.9;13.7
Akali;66.7;3.96;33;13.6
Rell;66.7;3.16;6.3;7.1
Varus;66.7;3.3;23.6;12.8
Rakan;66.7;3.85;8;8.1
Twisted Fate;65.6;2.59;18.3;12.5
Pyke;64.7;2.72;10.9;9.2
Taliyah;64;3.46;21.5;11.3
Gnar;63.6;2.14;16.8;9.7
Nidalee;62.5;5.74;19.6;11.3
Kha'Zix;62.5;3.87;20.7;12.4
Jinx;61.9;3.62;20.3;11.3
Volibear;61.5;2.44;24.8;12
Twisted Fate;60.9;3.81;17.6;11.5
Jayce;60.9;2.18;20.8;11.5
Kai'Sa;60.9;3.41;24.8;13.3
Corki;60;2.65;27;14
Azir;60;2.53;25;11.8
Skarner;59.3;3.07;21.5;10.8
Tristana;58.8;2.4;20.8;11.8
Lucian;58.8;2.02;20.8;11.5
Rumble;58.3;2.56;19.7;9
Kalista;56.3;2.1;15.4;9.7
Ashe;55.6;2.93;23;12.3
Alistar;54.5;3.46;7.2;7.5
Teemo;54.5;2.93;26;12.5
Tryndamere;54.5;2.44;16.4;12
Kennen;53.6;1.9;22;11.3
Camille;53.1;2.2;18.7;11
Smolder;52.9;2.86;26.7;12
Jax;52.2;2.13;19.7;11.2
Blitzcrank;50;2.61;7.8;8
Ahri;50;2.63;17.3;10.5
Taliyah;50;2.35;15.3;9.1
Jhin;50;2.64;21.8;12.3
Nautilus;47.9;2.62;7.8;7.2
Thresh;47.6;2.48;6.5;6.8
Rumble;47.5;2.22;23.1;11.4
Bel'Veth;47.1;3.25;14.1;11.9
Hwei;45;2.51;23.4;10.6
Graves;42.9;2.91;22.1;12.3
K'Sante;42.9;1.63;13.5;8.7
Nasus;41.7;1.71;17.8;11
Senna;41.7;2.72;14.9;8.3
Skarner;40;3.64;17.5;10.8
Rek'Sai;40;4.3;13.1;8.6
Viego;37.9;2.46;15.1;10.9
Renekton;36.8;1.71;17.6;11.1
Corki;30;1.79;20.8;11.4
Vayne;30;3.46;27.4;12.9
Camille;28.6;1.61;12.7;7.7
Olaf;100;5.0;22.6;16.3
Galio;100;14.0;9.6;9.4
Kayle;100;1.57;26;17.7
Miss Fortune;100;4.67;21.9;13.1
Rammus;100;0.89;17.8;9.8
Irelia;100;2.8;20.3;14.7
Sylas;100;3.61;17.5;10.5
Elise;100;10.33;9.4;8.9
Wukong;100;1.44;29.4;11.3
Cassiopeia;100;2.67;38.3;15.4
Cassiopeia;100;4.0;5.1;6.3
Pantheon;100;5.86;12;7.3
Malzahar;100;2.67;23.3;13.2
Talon;100;3.4;25.8;15.7
Shen;100;3.25;19.2;9.2
Lux;100;7.0;36.7;19.7
Fizz;100;7.0;23.1;13.2
Viktor;100;5.67;30;14.4
Ziggs;100;5.0;16.2;9.7
Diana;100;14.0;21.5;13.8
Yasuo;100;3.29;17.3;11.7
Yuumi;100;13.0;7.3;10
Xayah;100;9.0;11.5;10.8
Gwen;100;3.44;25;12.7
Briar;100;2.0;9.9;10.5
Ashe;87.5;3.94;16.9;8.7
Volibear;85.7;2.83;12.4;9
Draven;83.3;4.45;22;15.6
Diana;83.3;2.96;17.7;10.9
Sylas;80;3.39;28.7;13.9
Zed;80;3.18;24.4;12
Samira;80;2.41;20.6;12.5
Seraphine;77.8;5.39;8.8;8.5
Xin Zhao;75;4.18;22.8;12
Neeko;75;3.94;15.8;8
Malphite;75;6.17;30;14.1
Nasus;75;2.33;14.4;9.5
Zyra;75;4.62;19.5;10.4
Renata Glasc;75;4.18;7.2;7
Ryze;71.4;2.55;22.4;12.1
